i	n-2	n-1	n
151	162.6035981766338	70.57959394791212	65.5429449633558
152	70.57959394791212	65.5429449633558	141.15308798436055
153	65.5429449633558	141.15308798436055	329.50033712524584
154	141.15308798436055	329.50033712524584	359.4894921669023
155	329.50033712524584	359.4894921669023	169.10717534316177
156	359.4894921669023	169.10717534316177	73.38383994068262
157	169.10717534316177	73.38383994068262	68.1299468653981
158	73.38383994068262	68.1299468653981	146.6880394025994
159	68.1299468653981	146.6880394025994	342.3369507551871
160	146.6880394025994	342.3369507551871	373.40407809594944
161	342.3369507551871	373.40407809594944	175.61077307263756
162	373.40407809594944	175.61077307263756	76.18809463151358
163	175.61077307263756	76.18809463151358	70.71695664023987
164	76.18809463151358	70.71695664023987	152.22300734900185
165	70.71695664023987	152.22300734900185	355.1736020027361
166	152.22300734900185	355.1736020027361	387.31870404635515
167	355.1736020027361	387.31870404635515	182.1143891635365
168	387.31870404635515	182.1143891635365	78.99235709466906
169	182.1143891635365	78.99235709466906	73.30397345489925
170	78.99235709466906	73.30397345489925	157.75799008501633
171	73.30397345489925	157.75799008501633	368.01028693397274
172	157.75799008501633	368.01028693397274	401.23336585698087
173	368.01028693397274	401.23336585698087	188.61802171772342
174	401.23336585698087	188.61802171772342	81.79662653126
175	188.61802171772342	81.79662653126	75.89099658988445
176	81.79662653126	75.89099658988445	163.2929861076254
177	75.89099658988445	163.2929861076254	380.84700214494444
178	163.2929861076254	380.84700214494444	415.14805992413926
179	380.84700214494444	415.14805992413926	195.12166908993848
180	415.14805992413926	195.12166908993848	84.60090224824081
181	195.12166908993848	84.60090224824081	78.47802542050516
182	84.60090224824081	78.47802542050516	168.8279941107713
183	78.47802542050516	168.8279941107713	393.6837446753419
184	168.8279941107713	393.6837446753419	429.06278311128347
185	393.6837446753419	429.06278311128347	201.62532984704953
186	429.06278311128347	201.62532984704953	87.40518364144498
187	201.62532984704953	87.40518364144498	81.06505940175845
188	87.40518364144498	81.06505940175845	174.3630129541209
189	81.06505940175845	174.3630129541209	406.52051193851355
190	174.3630129541209	406.52051193851355	442.97753267569993
191	406.52051193851355	442.97753267569993	208.12900273493653
192	442.97753267569993	208.12900273493653	90.20947018178177
