i	n-2	n-1	n
223	240.64751472682	104.23096555591	96.587348285541
224	104.23096555591	96.587348285541	207.57330511685
225	96.587348285541	207.57330511685	483.54152464378
226	207.57330511685	483.54152464378	526.46646690902
227	483.54152464378	526.46646690902	247.15124120186
228	526.46646690902	247.15124120186	107.0352748673
229	247.15124120186	107.0352748673	99.17440764375
230	107.0352748673	99.17440764375	213.108377461
231	99.17440764375	213.108377461	496.37841418046
232	213.108377461	496.37841418046	540.38134709623
233	496.37841418046	540.38134709623	253.65497426253
234	540.38134709623	253.65497426253	109.83958698127
235	253.65497426253	109.83958698127	101.76146955385
236	109.83958698127	101.76146955385	218.64345519438
237	101.76146955385	218.64345519438	509.21531605484
238	218.64345519438	509.21531605484	554.29624048572
239	509.21531605484	554.29624048572	260.1587134151
240	554.29624048572	260.1587134151	112.64390168858
241	260.1587134151	112.64390168858	104.34853382609
242	112.64390168858	104.34853382609	224.17853791791
243	104.34853382609	224.17853791791	522.05222935705
244	224.17853791791	522.05222935705	568.21114610787
245	522.05222935705	568.21114610787	266.66245821396
246	568.21114610787	266.66245821396	115.4482188003
247	266.66245821396	115.4482188003	106.93560028909
248	115.4482188003	106.93560028909	229.71362527098
249	106.93560028909	229.71362527098	534.88915326459
250	229.71362527098	534.88915326459	582.12606308573
251	534.88915326459	582.12606308573	273.16620825594
252	582.12606308573	273.16620825594	118.25253814543
253	273.16620825594	118.25253814543	109.52266878765
254	118.25253814543	109.52266878765	235.24871692691
255	109.52266878765	235.24871692691	547.72608703199
256	235.24871692691	547.72608703199	596.0409906242
257	547.72608703199	596.0409906242	279.66996317536
258	596.0409906242	279.66996317536	121.0568595688
259	279.66996317536	121.0568595688	112.10973918089
260	121.0568595688	112.10973918089	240.78381258904
261	112.10973918089	240.78381258904	560.56302998207
262	240.78381258904	560.56302998207	609.95592800072
263	560.56302998207	609.95592800072	286.17372263976
264	609.95592800072	286.17372263976	123.86118292928
265	286.17372263976	123.86118292928	114.69681134063
266	123.86118292928	114.69681134063	246.31891198737
267	114.69681134063	246.31891198737	573.39998149825
268	246.31891198737	573.39998149825	623.87087455717
269	573.39998149825	623.87087455717	292.67748634622
270	623.87087455717	292.67748634622	126.66550809825
271	292.67748634622	126.66550809825	117.28388515001
272	126.66550809825	117.28388515001	251.85401487562
273	117.28388515001	251.85401487562	586.23694101795
274	251.85401487562	586.23694101795	637.78582969284
275	586.23694101795	637.78582969284	299.18125401818
276	637.78582969284	299.18125401818	129.46983495821
277	299.18125401818	129.46983495821	119.87096050224
278	129.46983495821	119.87096050224	257.38912102869
279	119.87096050224	257.38912102869	599.0739080268
280	257.38912102869	599.0739080268	651.70079285833
281	599.0739080268	651.70079285833	305.68502540257
282	651.70079285833	305.68502540257	132.27416340165
283	305.68502540257	132.27416340165	122.45803729956
284	132.27416340165	122.45803729956	262.92423024044
285	122.45803729956	262.92423024044	611.91088205358
286	262.92423024044	611.91088205358	665.61576355014
287	611.91088205358	665.61576355014	312.18880026743
288	665.61576355014	312.18880026743	135.07849332995
289	312.18880026743	135.07849332995	125.0451154523
290	135.07849332995	125.0451154523	268.45934232172
291	125.0451154523	268.45934232172	624.74786266576
292	268.45934232172	624.74786266576	679.53074130602
293	624.74786266576	679.53074130602	318.69257839971
294	679.53074130602	318.69257839971	137.88282465255
295	318.69257839971	137.88282465255	127.63219487806
296	137.88282465255	127.63219487806	273.99445709865
297	127.63219487806	273.99445709865	637.58484946568
298	273.99445709865	637.58484946568	693.4457257008
299	637.58484946568	693.4457257008	325.19635960343
300	693.4457257008	325.19635960343	140.68715728608
301	325.19635960343	140.68715728608	130.21927550097
302	140.68715728608	130.21927550097	279.52957441115
303	130.21927550097	279.52957441115	650.42184208703
304	279.52957441115	650.42184208703	707.36071634277
305	650.42184208703	707.36071634277	331.70014369794
306	707.36071634277	331.70014369794	143.49149115369
307	331.70014369794	143.49149115369	132.80635725108
308	143.49149115369	132.80635725108	285.06469411152
309	132.80635725108	285.06469411152	663.25884019186
310	285.06469411152	663.25884019186	721.27571287043
311	663.25884019186	721.27571287043	338.2039305165
312	721.27571287043	338.2039305165	146.29582618444
313	338.2039305165	146.29582618444	135.3934400638
314	146.29582618444	135.3934400638	290.59981606336
315	135.3934400638	290.59981606336	676.0958434679
316	290.59981606336	676.0958434679	735.19071494964
317	676.0958434679	735.19071494964	344.70771990495
318	735.19071494964	344.70771990495	149.10016231269
319	344.70771990495	149.10016231269	137.98052387937
320	149.10016231269	137.98052387937	296.13494014044
321	137.98052387937	296.13494014044	688.93285162612
322	296.13494014044	688.93285162612	749.1057222711
323	688.93285162612	749.1057222711	351.21151172056
324	749.1057222711	351.21151172056	151.90449947768
325	351.21151172056	151.90449947768	140.56760864242
